IID,cluster
HORUS003992568323,1
HORUS003992567857,0
HORUS007200120066,0
HORUS007200121550,0
HORUS003992568715,0
HORUS007200121213,0
HORUS003991270466,0
HORUS003910310610,0
HORUS003991270609,0
HORUS003910309708,0
HORUS003910310931,0
HORUS003992568239,0
HORUS003910310263,0
HORUS003992568061,0
HORUS007200120134,0
HORUS003912557054,0
HORUS003912557563,0
HORUS003910310929,0
HORUS007200121200,0
HORUS007200121503,0
HORUS007200121572,0
HORUS003991271139,1
HORUS003910310921,1
HORUS003910310294,0
HORUS003910310011,0
HORUS003992568113,0
HORUS003912557332,0
HORUS003992567853,0
HORUS003991270476,0
HORUS007200120065,0
HORUS003910310220,0
HORUS007200119860,0
HORUS006992569135,0
HORUS003912557011,1
HORUS003992569661,0
HORUS003992567970,0
HORUS003992569251,0
HORUS003912557570,0
HORUS007200119856,0
HORUS003912556475,0
HORUS006992569168,0
HORUS003910310204,1
HORUS003991270843,1
HORUS007200121558,0
HORUS003910309675,0
HORUS003991270263,0
HORUS007200121953,0
HORUS003912556471,0
HORUS003912556877,0
HORUS003910310957,1
HORUS003992569306,0
HORUS003992569287,0
HORUS007200122005,0
HORUS003910310361,0
HORUS007200121428,0
HORUS007200121204,0
HORUS003912557141,0
HORUS003992568235,0
HORUS003910310571,1
HORUS003991270647,0
HORUS003910309798,0
HORUS003992669397,0
HORUS007200121951,0
HORUS003910309967,0
HORUS003992568105,0
HORUS003912557024,0
HORUS007200119985,0
HORUS003912556999,0
HORUS003991271081,0
HORUS003910310830,0
HORUS003912557072,0
HORUS003992567996,0
HORUS007200117868,0
HORUS003910310255,0
HORUS003992568673,0
HORUS003992569028,0
HORUS003991270398,0
HORUS003991270928,0
HORUS007200121994,0
HORUS003912556716,0
HORUS003991270624,0
HORUS007200119768,0
HORUS003912557427,0
HORUS003991270636,0
HORUS003992568672,0
HORUS003992570094,1
HORUS003992568359,0
HORUS007200121526,0
HORUS003910310923,0
HORUS003910310843,0
HORUS007200120238,0
HORUS003912556700,0
HORUS003912557270,1
HORUS003910310197,1
HORUS003912557020,0
HORUS003910310810,0
HORUS007200120013,0
HORUS003910310786,1
HORUS003910310310,0
HORUS007200121996,0
HORUS003992568279,0
HORUS003910310369,0
HORUS007200011873,0
HORUS003910310804,0
HORUS007200121551,0
HORUS003992567991,0
HORUS007200121441,0
HORUS003992568961,0
HORUS003912556937,0
HORUS003991270635,0
HORUS003910310459,0
HORUS003910310436,1
HORUS003912556644,0
HORUS007200120170,0
HORUS003992569299,0
HORUS003912556971,0
HORUS003991271088,0
HORUS007200119883,0
HORUS003992568243,0
HORUS003912557044,0
HORUS003912557571,0
HORUS003910309628,0
HORUS007200121450,0
HORUS003992568393,1
HORUS007200119951,0
HORUS003991270659,0
HORUS007200120035,0
HORUS007200119758,0
HORUS003912557461,1
HORUS003992567901,0
HORUS003910310667,0
HORUS003992568838,0
HORUS003910310306,0
HORUS003992567922,0
HORUS003991270344,0
HORUS003910310398,0
HORUS003910310233,0
HORUS003991270317,0
HORUS007200120047,0
HORUS003992567990,0
HORUS003992568238,0
HORUS003991270315,0
HORUS003992567819,0
HORUS007200120146,0
HORUS003991270696,0
HORUS003992570282,0
HORUS003991271096,0
HORUS003910310247,0
HORUS003992568750,0
HORUS003912556935,0
HORUS003992568259,1
HORUS003992568940,0
HORUS003910310102,0
HORUS003992569318,0
HORUS003991270282,0
HORUS003992568222,0
HORUS003992568211,0
HORUS003992570084,0
HORUS006992569164,0
HORUS003910310692,0
HORUS003991270788,1
HORUS003991270611,1
HORUS003992569985,0
HORUS007200120189,0
HORUS003992569346,0
HORUS007200121529,0
HORUS003912556965,0
HORUS003991270763,1
HORUS007200120107,0
HORUS003910309677,0
HORUS003992569092,0
HORUS007200122015,0
HORUS007200118224,0
HORUS007200121560,0
HORUS003991270667,1
HORUS006992569173,0
HORUS003912556670,0
HORUS003991270446,0
HORUS007200121422,0
HORUS003991271003,0
HORUS003910310868,1
HORUS003991270455,0
HORUS007200120007,0
HORUS007200121571,0
HORUS003992568058,0
HORUS003991270924,0
HORUS003992568000,0
HORUS007200121943,0
HORUS003912556887,0
HORUS003992568152,0
HORUS007200121956,0
HORUS003910310889,0
HORUS003992568807,0
HORUS003912556800,0
HORUS003910309928,0
HORUS003992568830,0
HORUS003912556968,0
HORUS003912556649,0
HORUS003912556910,0
HORUS007200120121,0
HORUS007200119993,0
HORUS003992567954,0
HORUS003992568953,0
HORUS003910310280,0
HORUS003992569345,0
HORUS007200120186,0
HORUS003912557556,0
HORUS007200121505,0
HORUS003910310878,0
HORUS007200122013,0
HORUS007200119634,0
HORUS003910309777,0
HORUS003991270353,0
HORUS003910310829,0
HORUS007200120116,0
HORUS007200122010,0
HORUS007200122021,0
HORUS007200121203,0
HORUS003992567933,0
HORUS007200120062,0
HORUS007200121190,0
HORUS007200121955,0
HORUS003912556691,0
HORUS007200122004,0
HORUS003992568852,1
HORUS003992568591,0
HORUS003910310284,0
HORUS003992568719,1
HORUS003992568218,0
HORUS007200120017,0
HORUS003991270577,1
HORUS003910309943,0
HORUS003910310663,0
HORUS007200119840,0
HORUS003910310218,0
HORUS003992568662,1
HORUS007200119797,0
HORUS003912557510,1
HORUS003912556462,0
HORUS003910310290,0
HORUS007200121525,0
HORUS003991270452,0
HORUS003991270617,1
HORUS003912557435,0
HORUS003992569600,0
HORUS003910310191,0
HORUS003992567790,0
HORUS007200119913,0
HORUS003910310903,0
HORUS007200119641,0
HORUS003992567927,0
HORUS003992570028,0
HORUS007200120016,0
HORUS003992568959,0
HORUS007200121942,0
HORUS003992567874,0
HORUS007200119748,0
HORUS003991270596,0
HORUS003912556917,0
HORUS003992570026,0
HORUS003912557508,0
HORUS003910310312,0
HORUS003910310271,0
HORUS003992568655,0
HORUS003992568870,0
HORUS003992567921,0
HORUS003992568241,0
HORUS007200120125,0
HORUS003912557496,1
HORUS007200120183,0
HORUS003992568954,0
HORUS003910310142,0
HORUS003910310395,0
HORUS007200119831,0
HORUS003992568879,1
HORUS003912556909,0
HORUS003910310909,0
HORUS007200121438,0
HORUS003912557507,1
HORUS003992568712,1
HORUS003910309863,0
HORUS003992569935,0
HORUS003910310476,0
HORUS003910310386,0
HORUS003910310385,0
HORUS003912557448,0
HORUS003992568049,0
HORUS003991271086,0
HORUS007200121193,0
HORUS007200120041,0
HORUS003991270312,0
HORUS003912556969,0
HORUS003992568997,0
HORUS003910310664,0
HORUS003992568375,0
HORUS007200120124,0
HORUS003992568328,1
HORUS003992568693,1
HORUS003910309827,0
HORUS007200119757,0
HORUS003992568041,0
HORUS003992568565,0
HORUS003991270637,1
HORUS003910310920,0
HORUS003910309857,0
HORUS007200121188,0
HORUS003991270715,0
HORUS003910310176,0
HORUS003910309741,0
HORUS003992568289,0
HORUS003912557574,0
HORUS007200121433,0
HORUS003992569660,0
HORUS007200121192,0
HORUS003992570036,0
HORUS003991270336,0
HORUS003991270254,0
HORUS003992568990,0
HORUS007200119910,0
HORUS007200122017,0
HORUS007200120149,0
HORUS003912556788,0
HORUS003912556904,1
HORUS003992568157,0
HORUS003992568921,0
HORUS003912557453,1
HORUS003992568164,0
HORUS003992568275,1
HORUS003991270672,0
HORUS007200119833,0
HORUS003992567989,0
HORUS003912557582,0
HORUS003992568145,0
HORUS003912557205,0
HORUS003991270633,0
HORUS003992568143,0
HORUS003992568229,0
HORUS007200119912,0
HORUS003991271108,0
HORUS003910310444,0
HORUS007200120040,0
HORUS007200119945,0
HORUS003910310195,0
HORUS007200117977,0
HORUS007200120235,0
HORUS003992569490,0
HORUS003992567994,0
HORUS007200119786,0
HORUS003910309654,0
HORUS003991270785,1
HORUS003992567882,0
HORUS007200121530,0
HORUS003910310472,0
HORUS003912557383,0
HORUS003912556539,0
HORUS007200119743,0
HORUS007200122006,0
HORUS003992567807,0
HORUS003992568400,0
HORUS003910310951,0
HORUS003912556928,0
HORUS003992568859,0
HORUS007200121952,0
HORUS003992569632,0
HORUS003912556542,0
HORUS003992568747,0
HORUS003912557094,1
